rating,date,content,content_len,content_preprocess,content_word_count,year,month,sentiment,bow_가다,bow_가볍다,bow_감동,bow_기분,bow_꾸다,bow_내용,bow_동화,bow_따뜻하다,bow_마음,bow_마지막,bow_많다,bow_백화점,bow_사람,bow_상상,bow_상상력,bow_생각,bow_소재,bow_술술,bow_시간,bow_신선하다,bow_어른,bow_이렇다,bow_읽히다,bow_작가,bow_잔잔하다,bow_재미있다,bow_재밌다,bow_좋다,bow_추천,bow_한국
5,2022-10-23,재미있게 읽었음 2권 기대됨,15,재미있다 2 권 기대,4,2022,10,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2022-09-28,재밌고 상상속의 귀여운 이야기들 술술 읽혀요,24,재밌다 상상 속 귀엽다 술술 읽히다,6,2022,9,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5,2022-09-16,진짜 오랜만에 여운남고 편안한 소설을 읽었네요,25,진짜 운남고 편안하다,6,2022,9,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-08-31,오랜만에 술술 읽히는 책이었어요.,18,술술 읽히다,4,2022,8,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5,2022-08-26,이 책을 봄과 동시에 내 마음속에 작은 봄이 왔다.,28,봄 동시 내 마음속 작다 봄 오다,9,2022,8,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-08-12,해리포터 이후 가장 상상력을 자극한 이야기,23,해리포터 이후 가장 상상력 자극,6,2022,8,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-08-05,여운이 남는 스토리,10,여운 남다 스토리,3,2022,8,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-07-27,정말 울고 웃고 여운이 남을 수 밖에없다. 기분 좋은 꿈을 꾼듯한 -,38,울 웃다 여운 남 밖 기분 좋다 꿈 꾸다,12,2022,7,positive,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2022-07-14,여운이 남는 짤막한 이야기들이 많네요,20,여운 남다 짤막하다 많다,5,2022,7,positive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-07-06,최고에요 꿈을 자주 꾸는 편이고 깨고나서도 남아있는 여운에 슬플때가 많은데 이 소설 덕분에 울고 웃고 다했어요 뭔가 위로가 되네요,72,최고 꿈 자주 꾸다 편이 깨다 남다 여운 슬프다 때 많다 덕분 울 웃다 뭔가 위로,19,2022,7,positive,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-07-04,어느새 어른이 된 내가 이 책을 읽는 동안 동화책 한권을 선물받은 어린아이가 된 기분이 든다.,52,어느새다 어른 내 동안 동화책 권 선물 받다 어리다 기분,15,2022,7,positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,2022-06-30,진짜 재밋다... 도서관 예약 기다리다가 꽉차서 결국 구매해서 본건데 후회없음,43,진짜 재밋다 도서관 예약 기다리다 꽉차다 구매 후회,10,2022,6,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,할머니랑 추억이 없는데도 울었네..,19,할머니 추억 울다,4,2022,6,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-06-15,친구 추천으로 읽게 됐는데 넘 재밌네요 동화같기도 하고 흔히 특별하게 느끼는 꿈들을 소재로 이야기를 보니까 진짜 이런 거였음 좋겠다는 생각도 들어요,82,친구 추천 돼다 넘다 재밌다 동화 흔하다 특별하다 꿈 소재 보 진짜 이렇다 거 좋다 생각,21,2022,6,positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
5,2022-06-12,뽐내지 않고 읽는 사람을 편하게 해주는 문체로 꿈같은 이야기를 현실적으로 풀어낸다. 과하지 않게 내 삶을 찬찬히 들여다 볼 수 있게 해준 좋은 책,81,뽐내다 사람 편하다 해주다 문체 꿈 현실 풀다 내다 과 내 삶 찬찬하다 들이다 볼 해주다 좋다,23,2022,6,positive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2022-06-09,너무너무 재밌는 책이였어요!!,16,재밌다,3,2022,6,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2022-05-30,그냥 꿈이 아닌 바쁜 현대인들의 삶을 돌아볼 수 있는 여유를 주는거 같아요 잘 읽었습니다,49,그냥 꿈 바쁘다 현대인 삶 돌아보다 여유 주다,14,2022,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-05-25,누구나 읽기 쉬운책이에요.,14,누구 쉽다,3,2022,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-05-04,꿈을 판다는 아이디어가 참 좋네요. 한 수 배우고 갑니다.,32,꿈 판다 아이디어 차다 좋다 배우다 가다,9,2022,5,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2022-05-03,책읽기가 어려운 저에게도 쉽게읽히고 잘 집중이되는 책이었습니다 큰 여운이 있는 책은 아니지만 읽고나서 좀 더 순수해지는 느낌이 들어서 기분 좋은 책 인것 같습니다,90,어렵다 쉬다 읽히다 집중 크다 여운 순수하다 들어서다 기분 좋다,23,2022,5,positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,2022-05-01,"1권이 막 이북으로 출간됐을 때 제목만 보고 홀린듯이 구입해서 읽었습니다. 원체 이런 소재와 분위기, 문체를 좋아해서 즐겁게 읽은 거랑 별개로 1권을 딱 봤을 때는 이야기에 중심이 되는 커다란 주제가 없고, 그래서 마무리도 좀 흐물거리는? 느낌을 받았었는데요. 2권을 보고 나니, 1권의 이야기들은 2권을 위한 긴 프롤로그 같은 느낌을 받았습니다. 2권이 너무너무 좋아서 1권을 다시 봤는데, 1권을 읽을 당시에 그냥 작품의 분위기 조성을 위한 설명처럼 읽고 지나쳤던 인물들의 관계성, 짤막한 관계성과 에피소드 설명 같은 부분들이 다시 눈에 들어오더라고요. 1권에서 애매했던 부분이 2권에서 많이 풀려서, 1권만 읽었을 때와 2권을 읽은 후 1권을 다시 읽었을 때 감상이 굉장히 많이 달라집니다. 저는 그랬어요. 혹시 1권만 읽었을 때 재미는 있고 흐름도 취향에 맞긴 한데 이게 그래서 대체 뭘 위한 내용이지...? 싶은 느낌을 받으셨던 분들은 2권도 읽어주셨으면 좋겠어요! 1권의 무수한 떡밥이 2권에서 매듭지어져서...  인생작 중 하나에 들어갔습니다ㅠ 3권도 떡밥이 나온 것 같은데, 나왔으면 좋겠습니다!",565,1 권 막 이북 추다 간 돼다 때 제목 보고 홀린 듯이 구입 이렇다 소재 분위기 문체 좋아하다 즐겁다 거 별개 1 권 때 중심 커다랗다 주제가 마무리 흐물거리 받다 2 권 보고 나니 1 권 2 권 위 기다 프롤로그 받다 2 권 좋다 1 권 다시 1 권 당시 그냥 작품 분위기 조성 위 설명 지나치다 인물 관계성 짤막하다 관계성 에피소드 설명 다시 눈 들어오다 1 권 애매하다 2 권 풀다 1 권 때 2 권 후 1 권 다시 때 감상 굉장하다 달라지다 그렇다 혹시 1 권 때 재미 흐름 취향 맞다 대체 뭘 위 내용 받다 분 2 권 좋다 1 권 무수 떡밥 2 권 매듭 지다 인생 작 중 하나 들어가다 3 권 떡밥 좋다,137,2022,5,positive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0
2,2022-04-29,기대가 너무 컸던 모양이지요. 꿈을 판다는 백화점은 참신한 아이디어임에 틀림없으나 내용의 전개가 그저 그런 판타지 소설같아서 끝까지 다 읽기가 힘이 부쳤습니다. 중간 중간 내용이 늘어져 지루한 부분도 많았고요. 가볍게 읽기에는 좋았던 책이었던 것 같아요. 추천하지는 않습니다.,154,기대 크다 이지 꿈 판다 백화점 참신하다 아이디어 임 틀림없다 내용 전개 그렇다 판타지 끝 힘 부치다 중간 중간 내용 늘어지다 지루하다 많다 가볍다 좋다 추천,36,2022,4,negative,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,2022-04-27,중반까지 봤는데 기대보다는 별로입니다. 옴니버스식 단편 읽는 느낌인데 일본만화나 서양 드라마에서 종종 보이는 신기하면서 감동과 할링이 있는 드라마 같은 걸 쓰고자 하신 건 알겠으나 별로 신선한 내용은 아니었어요. 캐릭터도 별로 안 와닿고 전개도 평이해서 높은 점수를 주긴 힘듭니다.,157,중반 기대 별로 옴니버스 단편 일본만화 서양 드라마 종종 보이다 신기하다 감동 링 드라마 걸 쓰다 건 알다 별로 신선하다 내용 캐릭터 별로 안 오다 닿다 전개도 평이하다 높다 점수 주다 힘드다,38,2022,4,negative,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2022-04-26,술술 읽혀요 신선하고 재밌는 소설이네요,21,술술 읽히다 신선하다 재밌다 요,5,2022,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
5,2022-04-25,삭막한 일상 속에 잠깐이나마 달콤한 꿈을 꾼 기분,27,삭막하다 일상 속 잠깐 달콤하다 꿈 꾼 기분,8,2022,4,positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-04-25,가볍게 읽기에 좋은 책입니다.,16,가볍다 좋다,4,2022,4,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2022-04-23,꿈꾸는 사람들의 이야기를 통해 힐링되는 시간이었습니다,29,꿈꾸다 사람 통해 힐링 시간,6,2022,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2022-04-10,잠을자면 꾸는꿈을 여러가지 장르와 잠을자면서 느끼는 감정같은것들을 글로 잘 표현해내면서 잠에 의미를 부여하게 만들어주는 소설이였네요. 조금 지루한면이 없지않아 있지만 우리가 잠이라는 무의식속으로 들어가면서 형상화하게되는 욕구나 욕망들을 느낄수있어 잘 읽었습니다.,146,꾸다 꿈 여러가지 장르 잠 감정 글 표현 해내다 잠 의미 부여 만들다 조금 지루하다 우리 잠 무의식 속 들어가다 형상 화하다 욕구 욕망,29,2022,4,positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-04-06,"잘읽었습니다. 개인적으로는 현실세계의사람들얘기보단 꿈파는 세계의이야기가 더 많았다면 환타지에푹빠져서 좋았을것같아요, 환타지에서 현실을 왔다갔다하는건 사실좀 피곤합니다.그치만2권도 이미 구매했어요 ㅎ",110,개인 실세 사람 얘기 꿈 팔다 세계 많다 환타지 푹 빠지다 좋다 환타지 현실 오다 가다 사실 피곤하다 그치다 2 권 구매,17,2022,4,positive,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2022-04-03,참신하고 좋은 소재를 가지고 풀어낼 수 있는 이야기로는 별로가 아닌가 싶네요 문장도 번역투가 강하고... 설렁설렁 읽기는 다 읽었지만 흥미롭거나 빨려들어가는 느낌은 아니었어요 어디 추천하고 싶은 책은 아닙니다,116,참신하다 좋다 소재 가지 풀다 낼 별로 문장 번역 투 강하다 흥미롭다 빨다 들어가다 어디 추천,27,2022,4,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
5,2022-04-01,가볍게 읽기 좋은 책. 소재도 신선하고 재미있음.,27,가볍다 좋다 소재 신선하다 재미있다,7,2022,4,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
5,2022-04-01,재밌게 쉽게 술술 잘 읽히는 책이예요. 시간가는줄 모르고 읽었어요. 한편의 무해한 꿈을 꾼 것같아요.,56,재밌다 쉬다 술술 읽히다 시간 가다 모르다 한편 무 꿈 꾼,14,2022,4,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
3,2022-03-29,소재는 너무 신선하고 좋았으나 중심이 없이 이야기가 흘러가는 느낌이에요,39,소재 신선하다 좋다 중심 흘러가다,9,2022,3,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5,2022-03-29,쉽게쉽게 읽힙니다. 등장인물들의 말과 행동을 상상해보면 마치 만화나 디즈니 애니의 캐릭터같은 모습이 떠오르기도 합니다.  흔한 클리셰라고도 할만한 이야기 구조이지만 꿈이 문화이고 감정이 재화인 매력적인 세계관을 구축한 작가의 상상력이 놀랍습니다. 내가 그런 세상에서 사는 주민이면 얼마나 좋을까요. 아름다운 이야기였습니다.  마지막 에피소드에서는 눈물도 흘렸네요 .ㅠㅠ 나 40살 아저씨라고...,221,쉬다 쉬다 읽히다 등장인물 말 행동 상상 해보다 마치 만화 디즈니 애니 캐릭터 모습 떠오르다 기도 흔하다 클리셰 고도 구조 꿈 문화 감정 재화 매력 세계관 구축 작가 상상력 놀라다 내 그렇다 세상 살다 주민 이면 얼마나 좋다 아름답다 마지막 에피소드 눈물 흘리다 나 40 살 아저씨,46,2022,3,positive,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
5,2022-03-27,가볍게 보기 좋은 재밌는 소설,16,가볍다 보기 좋다 재밌다,5,2022,3,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,2022-03-23,"재밌게 봤습니다. 처음엔 달러구트 꿈백화점을 리디북스로 접했는데 지금 현재는 달러구트 꿈백화점 1,2권 모두 책으로 구매했습니다.정말 좋아하는 작품중 하나입니다.",90,재밌다 처음 달러 구트 꿈 백화점 리디북스 접 지금 현재 달러 구트 꿈 백화점 12 권 모두 구매 좋아하다 작품 하나,18,2022,3,positive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2022-03-13,중 후반까지 장말 재밌게 보다가 마지막에 코끝이 찡하게 되네요 보는 내내 지루하지 않았고 책으로 간직하고 싶어서 합본까지 구매하게 되었네요 1도 다 읽었으니 2도 읽어야 겠어요^^,100,중 후반 장말 재밌다 마지막 코끝 찡하다 내내 지루하다 간직 합본 구매 되어다 1 도 2 도 겠다,25,2022,3,positive,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2022-03-11,몰입도가 뛰어난 소설,11,몰입도 뛰어나다,3,2022,3,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-03-09,한 여름 밤의 꿈처럼 다른 세계에 들어갔다가 나온 느낌을 받을 수 있는 책,41,여름 밤 꿈 다른 세계 들어가다 받다,13,2022,3,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-03-06,책 읽는 동안 행복했다,12,동안 행복하다,4,2022,3,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-03-05,상상력이 뛰어나요. 각 캐릭터들의 성격도 재미있고.. 스피도는 왠지 ESTJ일듯..,46,상상력 뛰어나다 각 캐릭터 성격 재미있다 스피도,9,2022,3,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2022-03-05,재밌고 읽으면서 행복했어요.,15,재밌다 행복하다,3,2022,3,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2022-03-03,꿈을 만드는내용의 소재라 참신하네요. 다른관점으로 볼수있어서 좋았어요.,39,꿈 만들다 내용 소재 참신하다 관점 좋다,7,2022,3,neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2022-03-01,개인적으로 처음엔 재밌게 잘 읽히다가 어느순간부터 이야기의 전개가 멈추고 제자리걸음하는 느낌이었어요  그 점이 지루하게 느껴져서 중도 하차했습니다 꿈에 대한 이야기 자체는 흥미로워요,101,개인 처음 재밌다 읽히다 순간 전개 멈추다 제자리걸음 지루하다 느껴지다 중도 하차 꿈 대한 자체 흥미롭다,22,2022,3,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5,2022-02-28,꿈에대한 새로운 생각을 가질수있는 흥미로운 이야기 입니다,31,꿈 대한 새롭다 생각 가지다 흥미롭다,7,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-28,오랜만에 가벼운 마음므로 재미있는 이야기 잘 경험하고 갑니다:),35,가볍다 마음므 재미있다 경험 가다,8,2022,2,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2022-02-25,가볍게 읽기 좋은 소설입니다!추천드립니다.,23,가볍다 좋다 추천 드리다,4,2022,2,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,2022-02-24,가볍게 잘 봤습니다,10,가볍다,3,2022,2,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-24,재미있는 소설이네요~,11,재미있다 요,2,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2022-02-24,재미있네요... ㅋ 가볍고 유쾌했습니다.,22,재미있다 가볍다 유쾌하다,4,2022,2,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2022-02-23,너무재미있게봤어요~ 바로 2권으로~~!!,22,재미있다 바로 2 권,3,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2022-02-23,유쾌하고 기발하며 아련하기까지.,17,유쾌하다 기발하다 아련하다,3,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-23,달러구트 추천받아서 읽었는데 너무 재밌네요,23,달러 구트 추천 받다 재밌다,5,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,2022-02-21,쉽게 읽을 수 있어요 재밌습니다,17,쉬다 재밌다,5,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2022-02-19,"어른들을 위한 동화, 판타지  쉽게 읽히고 미소를 지으며 책을 덮을 수 있는 책",44,어른 위 동화 판타지 쉬다 읽히다 미소 지다 덮다,13,2022,2,positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,2022-02-17,넘 재밌어요. 떡밥 회수까지. 깔끔한 기분.,24,넘다 재밌다 떡밥 회수 깔끔하다 기분,6,2022,2,positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2022-02-17,이성적인 나에게 '감성'병 하나를 선물해준 것 같다 마지막엔 눈물을 흘리며 보게 되었도 나의 삶이 복잡해질 때 이 책으로 마음의 평화를 찾을 수 있을 것 같다 좋은 책. 읽은 시간들이 허비되지 않았다. 작가님 감사합니다.,123,성적 나 감성 병 하나 선물 해주다 마지막 눈물 흘리다 되어다 나 삶 복잡하다 때 마음 평화 찾다 좋다 시간 허비 작가 감사하다,33,2022,2,positive,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2,2022-02-16,기대 많이했는데 생각보다 지루하고 허술해서 겨우 읽었다. 마지막 할머니와 손주가 나오는 꿈이 인상깊어서 별점 2점,63,기대 생각 지루하다 허다 술 겨우 마지막 할머니 손 주가 꿈 인상 깊다 2,15,2022,2,negative,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-15,참 재밌게 읽었어요 !,12,차다 재밌다,4,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2022-02-12,가볍게 읽기 좋아요 재미있어요,16,가볍다 좋다 재미있다,4,2022,2,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,2022-02-09,상큼하고 가볍고 즐겁습니다,14,상큼 가볍다 즐겁다,3,2022,2,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-08,좋아요 편하게 슥 읽기좋은챡이에요,18,좋다 편하다 좋다 챡,4,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5,2022-02-03,꿈이라는 소재로 책을 내려놓을 수 없게끔 아주 흥미롭게 이야기를 풀어나가고 쉽게 휘리릭 볼 수 있는 책이에요!,61,꿈 소재 내려놓다 아주 흥미롭다 풀다 나가다 쉬다 휘 리릭 볼,16,2022,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-02-01,가볍게 읽기 좋은 책인거 같아요!,18,가볍다 좋다,5,2022,2,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2022-01-27,생각보다 넘 재미있어요,12,생각 넘다 재미있다,3,2022,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2022-01-25,참신한 소재로 흥미롭게 읽기 시작했는데 등장 인물 이름들의 특색이나 특히 이름이 머리에 크게 남지 않아 아쉽네요. 또한 꿈을 꾸는 사람들은 특정 국가에 속하는데 꿈을 파는 사람들은 지구를 상대로 하고 있는 구도도 좀 아쉬웠습니다.,128,참신하다 소재 흥미롭다 시작 등장 인물 이름 특색 이름 머리 크게 남지 아쉽다 또한 꿈 꾸다 사람 특정 국가 속 꿈 팔다 사람 지구 상대로 구도 아쉽다,33,2022,1,negative,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-22,정말 최고의 소설!보면서 울고 웃고 늘 설레면서 처음으로 북리뷰를 남겨봅니다.,43,최고 울 웃다 늘 설레다 처음 북 리뷰 남기다,10,2022,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-22,2편 나왔다고해서 1편 다시 읽고 2편으로 갑니다~~,29,2 편 1 편 다시 2 편 가다,7,2022,1,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-01-22,자기삶을사랑하는법두가지~,13,자기 삶 사랑 법 가지,1,2022,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-21,"사랑스러운 소설, 꿈꾸고나면 행복해져요. 악몽이었던 꿈도. 신기...",38,사랑스럽다 꿈꾸다 행복하다 악몽 꿈 신기,7,2022,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-15,독특하고 사랑스러워요. 오래 기억에 남을 듯한 소설,28,독특하다 사랑스럽다 기억 남 듯,7,2022,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-15,귀여운 상상 스토리에 읽는 내내 풉! 하며 소리내며 행복하게 읽음,36,귀엽다 상상 스토리 내내 푸다 소리내다 행복하다,10,2022,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-14,"가끔 꿈을 꾸면 기억에 진하게 남을때도있고, 현실과 분간이 안되어 정신이 멍한적도있습니다 물론 단..몇초지만요.. 그만큼 꿈이 생생해서 꿈해몽을 자주 검색해보곤 합니다. 그런 저에게 이 책은 너무나 신기하고 빠져드는 이야기들이였습니다. 신기하게도 이 책을 중간쯤 읽었을때 제 꿈에 돌아가신 할아버지가 나타나셨습니다 별말은 없으시고 지긋이 처다보는 장면이 눈에 선합니다.. 이 작가님은 어떻게 이런 생각으로 소설을 쓰셨는지 정말 대단하고, 감사하네요.. 마지막 에피소드에서는 대성통곡했답니다.. 그리고 에필로그까지 완벽했어요",292,가끔 꿈 꾸다 기억 진하다 남 때 현실 분간 안되다 정신 멍하다 적다 단 초지 꿈 생생하다 꿈 해몽 자주 검색 해보다 그렇다 신기하다 빠져들다 들이다 신기하다 중간 때 제 꿈 돌아가다 할아버지 나타나다 말 지다 긋다 처 장면 눈 선하다 작가 어떻다 이렇다 생각 쓸다 대단하다 감사하다 마지막 에피소드 대성통곡 에필로그 완벽하다,61,2022,1,positive,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,2022-01-13,소재랑 설정이 너무 흥미로웠고 마지막 에피소드에서는 진짜 눈물이 엄청 쏟아졌네요. 재미있어요!,52,소재 설정 흥미롭다 마지막 에피소드 진짜 눈물 쏟아지다 재미있다,11,2022,1,positive,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
